"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.29 HS50, MS3, IMU Together.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:43:43.25",401,0,0,0,0,0,0
"2023-05-27 08:43:43.3",402,0,0,0,0,0,0
"2023-05-27 08:43:43.35",403,0,0,0,0,0,0
"2023-05-27 08:43:43.4",404,0,0,0,0,0,0
"2023-05-27 08:43:43.45",405,0,0,0,0,0,0
"2023-05-27 08:43:43.5",406,0,0,0,0,0,0
"2023-05-27 08:43:43.55",407,0,0,0,0,0,0
"2023-05-27 08:43:43.6",408,0,0,0,0,0,0
"2023-05-27 08:43:43.65",409,0,0,0,0,0,0
"2023-05-27 08:43:43.7",410,0,0,0,0,0,0
"2023-05-27 08:43:43.75",411,0,0,0,0,0,0
"2023-05-27 08:43:43.8",412,0,0,0,0,0,0
"2023-05-27 08:43:43.85",413,0,0,0,0,0,0
"2023-05-27 08:43:43.9",414,0,0,0,0,0,0
"2023-05-27 08:43:43.95",415,0,0,0,0,0,0
"2023-05-27 08:43:44",416,0,0,0,0,0,0
"2023-05-27 08:43:44.05",417,0,0,0,0,0,0
"2023-05-27 08:43:44.1",418,0,0,0,0,0,0
"2023-05-27 08:43:44.15",419,0,0,0,0,0,0
"2023-05-27 08:43:44.2",420,0,0,0,0,0,0
"2023-05-27 08:43:44.25",421,0,0,0,0,0,0
"2023-05-27 08:43:44.3",422,0,0,0,0,0,0
"2023-05-27 08:43:44.35",423,0,0,0,0,0,0
"2023-05-27 08:43:44.4",424,0,0,0,0,0,0
"2023-05-27 08:43:44.45",425,0,0,0,0,0,0
