"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.15 CR1000X R350 and IMU through SDM-SIO1A.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:41:22.3",412,0,0,0,0,0,0
"2023-05-26 14:41:22.35",413,0,0,0,0,0,0
"2023-05-26 14:41:22.4",414,0,0,0,0,0,0
"2023-05-26 14:41:22.45",415,0,0,0,0,0,0
"2023-05-26 14:41:22.5",416,0,0,0,0,0,0
"2023-05-26 14:41:22.55",417,0,0,0,0,0,0
"2023-05-26 14:41:22.6",418,0,0,0,0,0,0
"2023-05-26 14:41:22.65",419,0,0,0,0,0,0
"2023-05-26 14:41:22.7",420,0,0,0,0,0,0
"2023-05-26 14:41:22.75",421,0,0,0,0,0,0
"2023-05-26 14:41:22.8",422,0,0,0,0,0,0
"2023-05-26 14:41:22.85",423,0,0,0,0,0,0
